ID,X,Y,A,B,theta,total_flux,mu_max,mu_median,mu_mean,R_fwhm,R_e,R10,R90,x_start,x_end,y_start,y_end,area,greylevel
640,215.61522633744855,829.1069958847737,2.8835620487939413,2.273676305390799,0.40921728488028014,486.0,10.0,3.0,3.7384615384615385,3.6996385101659595,3.1915382432114616,1.2615662610100802,5.262410103554244,209,222,823,834,130,11.738461538461538
641,672.965811965812,836.7179487179487,3.8570964438494233,1.9869746302621356,1.458915669692427,234.0,5.0,2.0,2.25,3.742410318509555,3.141274657157109,1.1283791670955126,4.853342309955121,669,678,829,846,104,8.25
642,32.62693156732892,823.6622516556291,5.703194958046064,2.0910837266276032,-0.7180522145618516,453.0,5.0,2.0,2.53072625698324,5.262410103554244,4.296739856991561,1.692568750643269,6.530966601401967,22,42,816,833,179,7.5307262569832405
643,283.7445255474453,826.8576642335767,3.342443286239315,2.308709044635895,-0.8145691449791407,274.0,4.0,2.0,2.192,4.686510657907603,3.2897623212397704,1.381976597885342,5.4115163798060095,278,291,821,833,125,7.192
644,926.1166936790924,845.5121555915721,3.6110141453556963,2.678455008281916,-0.9486298026869847,617.0,10.0,3.0,3.6294117647058823,3.949327084834294,3.8678889139475245,1.381976597885342,6.257165172872317,919,932,837,854,170,6.629411764705883
645,446.8974358974359,846.991452991453,3.208406008565057,1.6365953747405029,0.7134457575840488,117.0,4.0,2.0,1.625,3.431831258788849,2.763953195770684,0.9772050238058398,4.296739856991561,443,453,840,852,72,6.625
646,696.3284561049445,836.8309788092836,10.707517342903737,8.692743020450855,0.23117534202414713,1982.0,8.0,2.0,2.6147757255936677,7.776816725043752,8.387281135541944,3.0901936161855166,13.410633306963609,667,719,818,863,758,6.614775725593668
647,529.2383419689119,839.4352331606218,3.4245733527156386,2.0750554931503,1.568716426763161,193.0,4.0,2.0,1.6929824561403508,4.51351666838205,3.431831258788849,1.2615662610100802,5.292567428401227,525,533,832,847,114,5.692982456140351
648,608.4885690093141,861.2269263336156,8.40867581448321,4.992856491503125,-1.4212300008094063,1181.0,6.0,3.0,2.8457831325301206,8.758577656805558,6.6755811781245455,2.6462837142006137,10.171072362820547,597,619,844,875,415,5.84578313253012
649,111.37797619047619,852.3809523809524,5.488897681314544,2.7501233051654355,0.41347863875816865,336.0,5.0,2.0,2.061349693251534,4.478115991081385,3.949327084834294,1.4927053303604616,6.206085419025319,103,120,841,859,163,8.061349693251534
650,829.102295610149,840.9665726943214,9.880298531117068,5.90122207842832,1.3219870861275895,2483.0,15.0,3.0,3.808282208588957,5.352372348458314,6.555290583552474,2.4592453796829674,11.954962939989485,809,843,810,855,652,6.808282208588957
